technology,nominal_depth,error_rate,min_freq,p_threshold,seed,kind,sites,callable_sites,raw_joint_cov5,true_differences,true_diff_callable,recovered_differences,masked_differences,uncallable_differences,false_differences,same_callable,popani,true_ani_callable
illumina_HS25,300,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,300,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,300,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,300,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,300,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,300,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,172,8,0,0,17820,99.04444444444444,99.0
illumina_HS25,1000,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,173,7,0,0,17820,99.03888888888888,99.0
illumina_HS25,1000,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,1000,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,1000,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
